Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir","Kaise Hua (From ""Kabir Singh"")",1ncyKqyZae6DoyjYaV9LmS,1y1rQTkWmrZdJmjwuK07GC,69,2019-06-13,234722,False,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,0.385,0.464,2,-6.975,1,0.0404,0.452,0.0,0.109,0.15,137.839
Humnava Mere,"Jubin Nautiyal, Rocky - Shiv",Humnava Mere,2BrJ0sEF6AR2Y4kaX1byd2,0loZn1c5heXie7OAtvK6nH,66,2018-05-23,328992,False,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144
"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")",Arijit Singh,2016 Shining Star - Arijit Singh,5Qi2odXJ7C5Hggha06uPWn,77gskLti3ilCnuwlDq0m8j,55,2016-12-30,287422,False,https://open.spotify.com/track/77gskLti3ilCnuwlDq0m8j,0.405,0.664,4,-5.497,1,0.0328,0.613,1.03e-06,0.525,0.4,81.924
"Itni Si Baat Hain (From ""Azhar"")","Arijit Singh, Antara Mitra",Ultimate Love Songs - Arijit Singh,1WwkojG9sjMSrFVz4D51W0,4OEBP1iwGmLtcM8UKRLm80,61,2020-05-19,294847,False,https://open.spotify.com/track/4OEBP1iwGmLtcM8UKRLm80,0.56,0.768,2,-4.77,1,0.0655,0.494,0.0,0.0844,0.289,155.765
Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,4QCM8VlhhlwZtQ2Ew7gtIg,5G7pZ8G8NFvS1MQ9H4L7dC,68,2018-09-14,247286,False,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC,0.51,0.502,7,-7.016,0,0.0325,0.71,0.0,0.0708,0.321,133.885
Pehli Dafa,"Atif Aslam, Shiraz Uppal",Pehli Dafa,5pAPEuGi48iywzO2NT5Ddt,4Tkb7zsDmsawB7S5TpKQV1,67,2017-01-06,298771,False,https://open.spotify.com/track/4Tkb7zsDmsawB7S5TpKQV1,0.679,0.537,4,-7.843,1,0.0322,0.844,3.34e-06,0.108,0.481,111.979
Main Rahoon Ya Na Rahoon,"Amaal Mallik, Armaan Malik, Rashmi Virag",Main Rahoon Ya Na Rahoon,2hlpZpzFRp0SxM8Fk50dsp,6f3ANRNQ8nCiPZ6VqXqq93,66,2015-11-24,309458,False,https://open.spotify.com/track/6f3ANRNQ8nCiPZ6VqXqq93,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025
"Pehla Pyaar (From ""Kabir Singh"")",Armaan Malik,Hits Of Armaan Malik,3gGwUpC4DmntZxwIXaoNh8,6v54G4hhoyTPreZ3nvSYmR,38,2020-07-22,272533,False,https://open.spotify.com/track/6v54G4hhoyTPreZ3nvSYmR,0.607,0.713,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.611,124.868
"Raabta (Title Track) [From ""Raabta""]","Pritam, Arijit Singh, Nikhita Gandhi","Raabta (Title Track) [From ""Raabta""]",4xju6tQ4eWUSxC7k7MAtUe,4e9dIemIXO8Tzg0k4aWujk,51,2017-05-02,297158,False,https://open.spotify.com/track/4e9dIemIXO8Tzg0k4aWujk,0.636,0.701,5,-6.825,1,0.0363,0.414,0.0,0.106,0.352,113.886
Tera Ghata,Gajendra Verma,Tera Ghata,7nRsCQuIFeFwO8fcQ5mRlH,0JBhoxPKHJc1ZeJrjSt0VO,62,2018-06-24,254174,False,https://open.spotify.com/track/0JBhoxPKHJc1ZeJrjSt0VO,0.718,0.573,1,-7.309,0,0.0451,0.458,0.00533,0.0953,0.686,180.043
